MEV,$m_{J/\psi p}$ [MEV] LOW,$m_{J/\psi p}$ [MEV] HIGH,Weighted DN/DM [MEV**-1],stat +,stat -
4035,4034,4036,16.82831,7.56536,-7.56536
4037,4036,4038,74.7105,15.28185,-15.28185
4039,4038,4040,106.6941,17.81495,-17.81495
4041,4040,4042,133.4722,20.51353,-20.51353
4043,4042,4044,161.32899,22.0457,-22.0457
4045,4044,4046,171.30721,22.02195,-22.02195
4047,4046,4048,155.20039,20.55631,-20.55631
4049,4048,4050,212.2326,24.4273,-24.4273
4051,4050,4052,191.0864,23.35549,-23.35549
4053,4052,4054,198.20869,23.51679,-23.51679
4055,4054,4056,189.841,22.70905,-22.70905
4057,4056,4058,239.99409,26.48982,-26.48982
4059,4058,4060,239.55409,26.35535,-26.35535
4061,4060,4062,229.3448,25.6695,-25.6695
4063,4062,4064,220.7872,25.04189,-25.04189
4065,4064,4066,288.48819,29.4341,-29.4341
4067,4066,4068,215.58549,24.36674,-24.36674
4069,4068,4070,263.035,27.55803,-27.55803
4071,4070,4072,271.48859,28.22896,-28.22896
4073,4072,4074,220.99001,25.17899,-25.17899
4075,4074,4076,294.1546,28.45426,-28.45426
4077,4076,4078,297.15311,29.44249,-29.44249
4079,4078,4080,289.6886,28.14159,-28.14159
4081,4080,4082,331.50021,30.20313,-30.20313
4083,4082,4084,252.3886,25.89983,-25.89983
4085,4084,4086,283.42111,28.02478,-28.02478
4087,4086,4088,308.81161,28.88183,-28.88183
4089,4088,4090,250.9156,25.23767,-25.23767
4091,4090,4092,307.41409,28.50074,-28.50074
4093,4092,4094,329.30499,29.49876,-29.49876
4095,4094,4096,289.31039,27.49537,-27.49537
4097,4096,4098,341.38611,30.50863,-30.50863
4099,4098,4100,373.336,32.21644,-32.21644
4101,4100,4102,306.40439,28.62932,-28.62932
4103,4102,4104,305.51111,27.88429,-27.88429
4105,4104,4106,303.03799,28.253,-28.253
4107,4106,4108,294.6843,27.78357,-27.78357
4109,4108,4110,340.40771,30.20555,-30.20555
4111,4110,4112,370.94339,31.79517,-31.79517
4113,4112,4114,298.10699,26.9764,-26.9764
4115,4114,4116,365.6608,30.87385,-30.87385
4117,4116,4118,335.95779,29.06967,-29.06967
4119,4118,4120,368.44479,31.12961,-31.12961
4121,4120,4122,322.4476,29.1257,-29.1257
4123,4122,4124,345.13019,28.90661,-28.90661
4125,4124,4126,345.26089,29.46849,-29.46849
